例句編號,主編碼,釋義編號,例句順序,例句,例句標音,華語翻譯
7532,7318,9963,1,麻煩你掂一下看偌重。,Mâ-huân lí tìm--tsi̍t-ē khuànn guā tāng. ,麻煩你掂掂看看有多重。
7533,7319,9964,1,掃塗跤,sàu thôo-kha,掃地
7534,7319,9965,1,伊會講話共人掃。,I ē kóng-uē kā lâng sàu. ,他會講話駁斥別人。
7535,7320,9966,1,挕掉,hìnn-tiāu,丟掉
7536,7320,9966,2,燒掉,sio-tiāu,
7537,7320,9966,3,洗掉,sé-tiāu,
7538,7321,9967,1,仔排無好勢，看著真亂。,"Í-á pâi bô hó-sè, khuànn tio̍h  tsin luān. ",椅子沒排好，看起來很亂。
7539,7321,9968,1,第九排,tē-káu pâi,
7540,7321,9970,1,彼兩項物件排鬥陣。,Hit nn̄g hāng mi̍h-kiānn pâi tàu-tīn. ,那兩樣東西並列在一起。
7541,7321,9971,1,水路若窒起來，水就排袂出去矣。,"Tsuí lōo nā that--khí-lâi, tsuí tō pâi bē tshut--khì--ah. ",水道要是塞住了，水就疏導不出去了。
7542,7322,9972,1,掖種,iā-tsíng,播種
7543,7322,9973,1,物件掖甲規四界。,Mi̍h-kiānn iā kah kui sì-kè. ,東西散落一地。
7544,7323,9974,2,軟塗深掘,nńg-thôo-tshim-ku̍t,引申為欺負好人或欺人太甚。
7545,7324,9975,1,衫愛用衫仔弓掛起來。,Sann ài iōng sann-á-king kuà--khí-lâi. ,衣服要用衣架掛起來。
7546,7324,9976,1,掛手環,kuà tshiú-khuân,戴手鐲
7547,7325,9977,1,掛心,khuà-sim ,
7548,7326,9978,1,錢愛共伊掜起來，無，伊會亂開。,"Tsînn ài kā i tau--khí-lâi, bô, i ē luān khai. ",要把他的錢扣下來，否則他會亂花。
7549,7326,9978,2,伊予警察掜留佇警察局。,I hōo kíng-tshat tau-liû tī kíng-tshat-kio̍k. ,他被警察扣在警察局。
7550,7326,9979,1,掜粉,tau hún,沾粉
7551,7326,9980,1,掜倚來身軀邊。,Tau uá-lâi sin-khu-pinn. ,拉近身邊來。
7552,7327,9981,1,掠魚,lia̍h hî,捉魚
7553,7327,9982,1,小掠一个大概仔。,Sió lia̍h tsi̍t-ê tāi-khài-á. ,稍微估個大概。
7554,7327,9983,1,肩胛頭共我掠一下。,King-kah-thâu kā guá lia̍h--tsi̍t-ē. ,肩膀幫我按摩一下。
7555,7327,9984,1,一掠長,tsi̍t-lia̍h tn̂g,一掌長
7556,7327,9985,1,掠漏,lia̍h-lāu,找出漏水的地方
7557,7327,9986,1,掠予伊直,lia̍h hōo i ti̍t,控制使成為整齊的一直線
7558,7327,9987,1,掠伊金金看。,Lia̍h i kim-kim-khuànn. ,對著他目不轉睛地看。
7559,7328,9988,1,採用,tshái-iōng,
7560,7328,9988,2,採取,tshái-tshú,
7561,7329,9989,1,探頭,thàm-thâu,
7562,7329,9990,1,探病,thàm-pēnn,
7563,7330,9991,1,緊去接人客。,Kín khì tsiap lâng-kheh. ,快去迎接客人。
7564,7330,9992,1,接骨,tsiap-kut,
7565,7330,9993,1,我有接著你寄來的批。,Guá ū tsiap-tio̍h lí kià--lâi ê phue. ,我收到你寄來的信了。
7566,7331,9994,1,接接,tsih-tsiap,
7567,7331,9995,1,接神,tsih sîn,
7568,7331,9996,1,接力,tsih-la̍t,
7569,7332,9997,1,疕仔莫去控。,Phí-á mài khì khàng. ,傷疤不要去摳。
7570,7332,9998,1,控山壁,khàng suann-piah,攀爬山壁
7571,7332,9999,1,四界去共人控錢。,Sì-kè khì kā lâng khàng tsînn. ,到處去謀取別人的錢財。
7572,7333,10000,1,這是逐家的責任，毋通推來推去。,"Tse sī ta̍k-ke ê tsik-jīm, m̄-thang the-lâi-the-khì. ",這是大家的責任，不要互相卸責。
7573,7334,10001,1,這味藥仔是推會行抑推袂行？,Tsit bī io̍h-á sī thui ē kiânn ia̍h thui bē kiânn? ,這個藥產不產生藥效？
7574,7334,10002,1,推動,thui-tōng,
7575,7334,10003,1,提草仔膏共烏青跡推推咧！,The̍h tsháu-á-ko kā oo-tshenn jiah thui-thui--leh! ,拿青草膏將瘀血處推拿推拿！
7576,7334,10004,1,今仔日推了有夠飽的。,Kin-á-ji̍t thui liáu ū-kàu pá--ê. ,今天吃得真飽。
7577,7334,10005,1,伊予人推甲烏青凝血。,I hōo lâng thui kah oo-tshenn gîng-hueh. ,他被人家毆打得瘀血。
7578,7335,10006,1,掩目睭,am ba̍k-tsiu,遮眼睛
7579,7335,10006,2,好掩䆀,hó am bái,好的掩蓋不好的
7580,7335,10007,1,一肢手掩一家喙。,Tsi̍t ki tshiú am tsi̍t ke tshuì. ,一個人養活一家人。
7581,7335,10008,1,小妹著掩咧！,Sió-muē tio̍h am--leh! ,小妹要保護好哦！
7582,7336,10009,1,共死貓掩佇咧塗跤。,Kā sí niau iám tī teh thôo-kha. ,將死貓埋在土裡。
7583,7336,10010,1,掩身術,iám sin su̍t,隱身術
7584,7337,10011,1,掩目睭,ng ba̍k-tsiu,遮眼睛
7585,7338,10012,1,共目睭掩起來。,Kā ba̍k-tsiu om--khí-lâi. ,把眼睛遮起來。
7586,7339,10013,1,干焦一袋爾爾，愛用掮的，袂使用擔的。,"Kan-na tsi̍t tē niā-niā, ài iōng khainn--ê, bē-sái iōng tann--ê. ",只有一袋而已，要用單邊吊掛，不能用雙邊挑起。
7587,7340,10014,1,救災,kiù-tsai,
7588,7340,10014,2,救命,kiù-miā,
7589,7341,10015,1,這粒山頭的地理已經敗去矣。,Tsit lia̍p suann-thâu ê tē-lí í-king pāi--khì--ah. ,這座山的地理已經毀壞了。
7590,7341,10015,2,敗名聲,pāi miâ-siann,破壞名聲
7591,7341,10016,1,彼个了尾仔囝共祖公仔產攏敗了了矣。,Hit ê liáu-bué-á-kiánn kā tsóo-kong-á-sán lóng pāi-liáu-liáu--ah. ,那個敗家子將祖產全都揮霍光了。
7592,7341,10017,1,失敗,sit-pāi,
7593,7341,10017,2,敗選,pāi-suán,
7594,7341,10017,3,敗訴,pāi-sòo,
7595,7342,10018,1,這我袂曉，請你教一下。,"Tse guá bē-hiáu, tshiánn lí kà--tsi̍t-ē. ",這個我不會，請你教一下。
7596,7342,10019,1,啥人教你按呢做的？,Siánn-lâng kà lí án-ne tsò--ê? ,誰叫你這樣做的？
7597,7343,10020,1,佛教,Hu̍t-kàu,
7598,7343,10020,2,回教,Huê kàu,
7599,7343,10021,1,有教無類,iú kàu bû luī,
7600,7344,10022,1,我的手袂接力，無法度提重的物件。,"Guá ê tshiú bē tsih-la̍t, bô-huat-tōo the̍h tāng ê mi̍h-kiānn. ",我的手使不了力，沒辦法提重的東西。
7601,7344,10023,1,冬天食補，才會接力，身體會較勇健。,"Tang-thinn tsia̍h-póo, tsiah ē tsih-la̍t, sin-thé ē khah ióng-kiānn. ",冬天進補能夠增強體力，身體會比較健康。
7602,7345,10024,1,先莫煩惱錢，救人較要緊。,"Sing mài huân-ló tsînn, kiù-lâng khah iàu-kín. ",先不要煩惱錢，救人比較重要。
7603,7346,10025,1,較早攏愛捾水洗身軀。,Khah-tsá lóng ài kuānn tsuí sé-sin-khu. ,以前的人要洗澡都必須先燒開水再提水到浴室才能洗。
7604,7347,10027,1,我的代誌免你掛心。,Guá ê tāi-tsì bián lí khuà-sim. ,我的事情不用你擔心。
7605,7348,10028,1,伊辭職了後，這个工課就由我接手。,"I sî-tsit liáu-āu, tsit ê khang-khuè tō iû guá tsiap-tshiú. ",他辭職了之後，這個工作就由我接下去做。
7606,7348,10029,1,這件代誌我無接手，你莫問我。,"Tsit kiānn tāi-tsì guá bô tsiap-tshiú, lí mài mn̄g--guá. ",這件事我並沒有經手，你別來問我。
7607,7355,10037,1,你按呢做會去予人掠包。,Lí án-ne tsò ē khì hōo-lâng lia̍h-pau. ,你這樣子做會被揭穿的。
7608,7356,10038,1,腹腸狹的人較會排斥別人。,Pak-tn̂g e̍h ê lâng khah ē pâi-thik pa̍t-lâng. ,度量狹小的人比較會排擠別人。
7609,7357,10039,1,今仔日就是敗市，毋才會賣遮俗。,"Kin-á-ji̍t tō sī pāi-tshī, m̄-tsiah ē bē tsiah sio̍k. ",今天因為滯銷，所以才會賣這麼便宜。
7610,7358,10040,1,阮公司想欲採用較有經驗的人。,Guán kong-si siūnn-beh tshái-iōng khah ū king-giām ê lâng. ,我們公司想要採用比較有經驗的人。
7611,7359,10041,1,這个囡仔若無教示是袂乖的。,Tsit ê gín-á nā bô kà-sī sī bē kuai--ê. ,這個孩子如果不教訓是不會乖的。
7612,7360,10042,1,伊對你捽目尾，我看是有好空的欲予你。,"I tuì lí sut-ba̍k-bué, guá khuànn sī ū hó-khang--ê beh hōo--lí. ",他向你使眼色，我看是有好處要給你。
7613,7361,10043,1,水鬼仔掠交替。,Tsuí kuí-á lia̍h-kau-thè. ,水鬼抓替死鬼。也指找人當替死鬼、代替受罪之意。
7614,7362,10044,1,逐个佇遐排列，是為著欲買演唱會的門票。,"Ta̍k ê tī hia pâi-lia̍t, sī uī-tio̍h beh bé ián-tshiùnn-huē ê mn̂g-phiò. ",每個人在那裡排隊，是為了要買演唱會的門票。
7615,7363,10045,1,伊只不過是一个掛名的經理爾爾。,I tsí-put-kò sī tsi̍t ê kuà-miâ ê king-lí niā-niā. ,他不過是個掛名的經理而已。
7616,7364,10046,1,這个活動愛靠你來推行。,Tsit ê ua̍h-tāng ài khò lí lâi thui-hîng. ,這個活動要靠你來推行。
7617,7367,10050,1,蝦仔愛掠沙筋了後食著較無沙屑。,Hê-á ài lia̍h-sua-kin liáu-āu tsia̍h tio̍h khah bô sua-sap. ,蝦子剔除泥腸之後吃起來才比較少細沙。
7618,7368,10051,1,媽媽看著我的分數一定會掠狂。,Má-mah khuànn-tio̍h guá ê hun-sòo it-tīng ē lia̍h-kông. ,媽媽看到我的分數一定會發狂。
7619,7372,10056,1,伊眩車咧掠兔仔。,I hîn-tshia teh lia̍h-thòo-á. ,他暈車正在嘔吐。
7620,7373,10057,1,心肝掠坦橫。,Sim-kuann lia̍h-thán-huâinn. ,把心一橫。
7621,7376,10062,1,伊隨來遮就火燒厝，真正是掃帚星。,"I suî lâi tsia tō hué-sio-tshù, tsin-tsiànn sī sàu-tshiú-tshenn. ",他一來這裡就發生火災，真是掃把星。
7622,7378,10064,1,掠直行較近。,Lia̍h-ti̍t kiânn khah kīn. ,採直線走比較近。
7623,7379,10065,1,有的物件好趁，有的末趁，掠長補短生理猶會做得。 ,"Ū ê mi̍h-kiānn hó thàn, ū ê bua̍t-thàn, lia̍h-tn̂g-póo-té sing-lí iáu ē tsò tit. ",有的東西好賺，有的利潤很低，截長補短生意尚可維持。
7624,7380,10066,1,一陣囡仔佇遐咧掩咯雞。,Tsi̍t tīn gín-á tī hia teh ng-ko̍k-ke. ,一群小朋友正在那裡捉迷藏。
7625,7381,10067,1,接待人客,tsiap-thāi lâng-kheh,接待客人
7626,7384,10070,1,你敢做，就莫叫我替你掩崁。,"Lí kánn tsò, tō mài kiò guá thè lí am-khàm. ",你敢做，就不要叫我替你隱瞞。
7627,7385,10071,1,加食寡果子無敗害。,Ke tsia̍h kuá kué-tsí bô pāi-hāi. ,多吃點水果沒害處。
7628,7386,10072,1,幾若代人粒積袂堪得一个敗家。,Kuí-nā tāi lâng lia̍p-tsik bē-kham-tit tsi̍t ê pāi-ke. ,好幾代人的積蓄抵不過一個敗家子揮霍。
7629,7392,10078,1,伊真𠢕教訓囡仔。,I tsin gâu kàu-hùn gín-á. ,他很會教導小孩。
7630,7395,10082,1,我掠做無人知影彼件代誌。,Guá lia̍h-tsò bô-lâng tsai-iánn hit kiānn tāi-tsì. ,我還以為沒人知道那件事情。
7631,7397,10084,1,伊最近捷捷來。,I tsuè-kīn tsia̍p-tsia̍p lâi. ,他最近常常來。
7632,7398,10085,1,彼个客戶就予你去接接。,Hit ê kheh-hōo tō hōo lí khì tsih-tsiap. ,那個客戶就讓你去接洽。
7633,7398,10086,1,人客來矣，你毋緊去接接閣蹛遮坐。,"Lâng-kheh lâi--ah, lí m̄ kín khì tsih-tsiap koh tuà tsia tsē. ",客人來了，你不快去接待，還坐在這裡。
7634,7399,10087,1,伊做代誌誠敏捷。,I tsò tāi-tsì tsiânn bín-tsia̍t. ,他做事情很迅速。
7635,7401,10089,1,做代誌不時都掩掩揜揜，毋知是咧做啥物歹代。做代誌不時都掩掩揜揜，毋知是咧做啥物歹代。,"I tsò tāi-tsì put-sî to ng-ng-iap-iap, m̄-tsai sī teh tsò siánn-mih pháinn-tāi. ",他做事常常遮遮掩掩的，不曉得在幹什麼壞事。
7636,7404,10092,1,探訪朋友,thàm-hóng pîng-iú,拜訪朋友
7637,7405,10093,1,這个接喙黏無好勢，強欲裂開矣。,"Tsit ê tsiap-tshuì liâm bô hó-sè, kiōng-beh li̍h--khui--ah. ",這個接合處沒黏好，快要裂開了。
7638,7405,10094,1,伊愛共人接喙，接落去就講袂煞。,"I ài kā lâng tsiap-tshuì, tsiap--lo̍h-khì tō kóng bē suah. ",他喜歡接人家的話題，接下去就聊個不停。
7639,7409,10099,1,伊為著離緣的官司，去旅社掠猴。,"I uī-tio̍h lī-iân ê kuann-si, khì lí-siā lia̍h-kâu. ",他為了離婚官司，去旅館捉姦。
7640,7410,10100,1,伊講規晡，我嘛是掠無頭摠。,"I kóng kui poo, guá mā sī lia̍h-bô-thâu-tsáng. ",他講了半天，我還是抓不到頭緒。
7641,7415,10105,1,恁等一下，我來去排隊買票。,"Lín tán--tsi̍t-ē, guá lâi-khì pâi-tuī bé phiò. ",你們等一下，我去排隊買票。
7642,7417,10107,1,你毋通掛意，我會趕緊轉來。,"Lí m̄-thang kuà-ì, guá ē kuánn-kín tńg--lâi. ",你不要掛念，我會趕快回來。
7643,7418,10108,1,我掠準你工課做煞矣。,Guá lia̍h-tsún lí khang-khuè tsò-suah--ah. ,我以為你工作完成了。
7644,7419,10109,1,當咧冤家，你小共排解一下。,"In tng-teh uan-ke, lí sió kā in pâi-kái--tsi̍t-ē. ",他們正在吵架，你稍微幫他們調停一下。
7645,7419,10110,1,心內若感覺鬱卒，愛揣辦法排解。 ,"Sim-lāi nā kám-kak ut-tsut, ài tshuē pān-huat pâi-kái. ",心裡如果覺得鬱悶，要想辦法排遣。
7646,7420,10111,1,伊堅持無欲做人的接跤的。,I kian-tshî bô beh tsò lâng ê tsiap-kha--ê. ,她堅持不做人家的填房。
7647,7420,10112,1,兩个相接跤來。,In nn̄g ê sio-tsiap-kha lâi. ,他們兩個接踵而來。
7648,7420,10113,1,接跤翁,tsiap-kha-ang,閩南及臺灣地區的習俗，已婚婦人在丈夫死後招贅丈夫為夫家工作、養畜子女
7649,7420,10113,2,接跤查某囝,tsiap-kha tsa-bóo-kiánn,對岳家而言，稱女婿的續絃，在習俗上，因死者為大，續絃仍須和丈夫元配的娘家保持良好的互動關係
7650,7422,10115,1,連紲行幾若點鐘，我強欲接載袂牢矣。,"Liân-suà kiânn kuí-nā tiám-tsing, guá kiōng-beh tsih-tsài bē tiâu--ah. ",連續走好幾個小時，我快要支撐不住了。
7651,7425,10118,1,你明仔載去揣看有師傅會當來掠漏無？,Lí bîn-á-tsài khì tshuē khuànn ū sai-hū ē-tàng lâi lia̍h-lāu--bô? ,你明天去找看看，有沒有泥水匠可以來修補漏水的地方？
7652,7426,10119,1,無掖種欲哪會當向望收成。,Bô iā-tsíng beh ná ē-tàng ǹg-bāng siu-sîng. ,沒有播種哪能指望收成。
7653,7427,10120,1,因為高麗菜大豐收，高麗菜就按呢大敗價。,"In-uī ko-lê-tshài tuā hong-siu, ko-lê-tshài tō án-ne tuā pāi-kè. ",因為高麗菜大豐收，高麗菜價格就大跌。
7654,7430,10123,1,先予兩个推撨好勢，咱才來決定紲落來欲按怎做。,"Sing hōo in nn̄g ê tshui-tshiâu hó-sè, lán tsiah lâi kuat-tīng suà--lo̍h-lâi beh án-tsuánn tsò. ",先讓他們兩個協商好，我們再來決定接下來該怎麼做。
7655,7435,10128,1,伊去中國探親。,I khì Tiong-kok thàm-tshin. ,他去中國拜訪親戚。
7656,7436,10129,1,伊對窗仔門探頭出來看外口發生啥物代誌。,I tuì thang-á-mn̂g thàm-thâu tshut-lâi khuànn guā-kháu huat-sing siánn-mih tāi-tsì. ,他從窗戶內伸頭出來看外面發生什麼事。
7657,7436,10130,1,人客來的時，愛探頭招呼，才有禮貌。,"Lâng-kheh lâi ê sî, ài thàm-thâu tsio-hoo, tsiah ū lé-māu. ",客人來的時候，要露臉打招呼，才有禮貌。
7658,7436,10131,1,我已經入院一禮拜矣，伊連探頭都無。,"Guá í-king ji̍p-īnn tsi̍t lé-pài--ah, i liân thàm-thâu to bô. ",我已經住院一個禮拜了，他連探視都沒有。
7659,7437,10132,1,予伊掠龍了後，規身軀攏誠爽快。,"Hōo i lia̍h-lîng liáu-āu, kui-sin-khu lóng tsiânn sóng-khuài. ",讓他按摩之後，整個身體都很舒服。
7660,7438,10133,1,逐擺買彩券，我若簽這號，伊就開彼號，若簽彼號，就開這號。掠龜走鱉，攏毋捌著獎。,"Ta̍k-pái bé tshái-kǹg, guá nā tshiam tsit hō,i tō khui hit hō, nā tshiam hit hō, tō khui tsit hō. lia̍h-ku-tsáu-pih , lóng m̄-bat tio̍h-tsióng. ",每次買彩券，我若簽這號，它就開那號，若簽那號，就開這號。顧此失彼，從未中過獎。
7661,7444,10139,1,你共心內的掛礙講出來逐家參考看覓。,Lí kā sim-lāi ê kuà-gāi kóng--tshut-lâi ta̍k-ke tsham-khó khuànn-māi. ,你把心裡面的牽掛講出來給大家參考一下。
7662,7445,10140,1,請你毋通推辭。,Tshiánn lí m̄-thang the-sî. ,請你不要推辭。
7663,7446,10141,1,我猶毋捌接觸過這種新產品。,Guá iáu m̄-bat tsiap-tshiok kuè tsit-tsióng sin sán-phín. ,我還未接觸過這種新產品。
7664,7447,10142,1,讀冊若無接續，就較會袂記得。,"Tha̍k-tsheh nā bô tsiap-sio̍k, tō khah ē bē kì--tit. ",念書如果沒有接續不斷，就比較容易忘記。
7665,7451,10146,1,彼件代誌就留予你去探聽。,Hit kiānn tāi-tsì tō lâu hōo lí khì thàm-thiann. ,那件事情就留給你去打聽。
7666,7451,10147,1,你一个查某囡仔人，嘛留寡予人探聽。,"Lí tsi̍t ê tsa-bóo-gín-á lâng, mā lâu kuá hōo lâng thàm-thiann. ",你是一個女孩子家，要留點好形象讓人家日後好來打聽。
7667,7452,10148,1,彼堵壁斜去，強欲倒落去矣。,"Hit tóo piah tshiâ--khì, kiōng-beh tó--lo̍h-khì--ah. ",那面牆斜一邊，快要倒了。
7668,7452,10149,1,月斜西,gue̍h tshiâ sai,月影西斜
7669,7453,10150,1,這條線斜斜。,Tsit tiâu suànn tshua̍h-tshua̍h. ,這條線斜斜的。
7670,7453,10151,1,這條路斜對東爿去。,Tsit tiâu lōo tshua̍h tuì tang-pîng--khì. ,這條路斜向東邊。
7671,7453,10151,2,斜過來,tshua̍h--kuè-lâi,
7673,7453,10152,1,斜角線,tshua̍h-kak suànn,對角線
7674,7454,10153,1,雙个旋，惡甲無人問。,"Siang ê tsn̄g, ok kah bô-lâng mn̄g. ",兩個髮旋的人，兇惡得沒人聞問。民間傳說有兩個髮旋的人天性兇惡。
7675,7455,10154,1,一尾蛇旋過去。,Tsi̍t bué tsuâ suan--kuè-khì. ,一條蛇溜過去。
7676,7455,10154,2,緊旋！,Kín suan! ,快溜！快逃！
7677,7456,10155,1,家族,ka-tso̍k,
7678,7456,10155,2,親族,tshin-tso̍k,
7679,7456,10156,1,民族,bîn-tso̍k,
7680,7456,10156,2,平埔族,Pênn-poo-tso̍k,
7681,7456,10157,1,股票族,kóo-phiò tso̍k,
7682,7456,10157,2,菜籃仔族,tshài-nâ-á tso̍k,菜籃族。指家庭主婦。
7683,7457,10158,1,中晝,tiong-tàu,中午
7684,7457,10158,2,過晝,kuè tàu,過中午
7685,7457,10158,3,倚晝,uá tàu,接近中午
7686,7457,10159,1,食晝,tsia̍h tàu,吃午餐
7687,7458,10160,1,下晡,ē-poo,下午
7688,7458,10160,2,頂晡,tíng-poo,上午
7689,7458,10160,3,一晡,tsi̍t poo,一個半天
7690,7458,10160,4,規半晡,kui-puànn-poo,整個半天，即很久的意思。
7691,7459,10162,1,望你早歸,bāng lí tsá kui,
7692,7459,10162,2,向望,ǹg-bāng,盼望
7693,7460,10163,1,一望無邊,it bōng bû pian,
7694,7461,10164,1,屎桮,sái-pue,早期沒有衛生紙時用來清潔肛門的工具
7695,7461,10164,2,球桮,kiû-pue,球拍
7696,7461,10165,1,跋桮,pua̍h-pue,擲筊
7697,7462,10167,1,眠床桱,bîn-tshn̂g-kènn,床板架
7698,7462,10167,2,六桱床,la̍k-kènn-tshn̂g,即單人床
7699,7462,10167,3,十桱床,tsa̍p-kènn-tshn̂g,即雙人床
7700,7462,10168,1,算盤桱,sǹg-puânn-kènn,
7701,7463,10169,1,水桶,tsuí-tháng,
7702,7463,10169,2,飯桶,pn̄g-tháng,盛飯的木桶，也用來罵人愚笨
7703,7463,10169,3,鐵桶,thih tháng,
7704,7463,10170,1,一桶水,tsi̍t tháng tsuí,
7705,7464,10171,1,楹桷,ênn-kak,泛稱建材木料
7706,7465,10172,1,匏桸,pû-hia,葫蘆瓢
7708,7466,10173,2,銃桿,tshìng kuáinn,槍桿
7709,7467,10174,1,烏梅,oo-muê,
7710,7488,10197,1,椅條,í-liâu,長板凳
7711,7488,10197,2,肉條,bah liâu,
7712,7488,10198,1,一條椅仔,tsi̍t liâu í-á,一張長板凳
7713,7488,10198,2,兩條肉,nn̄g liâu bah,兩條肉條
7714,7489,10199,1,金條,kim-tiâu,
7715,7489,10199,2,藤條,tîn-tiâu,
7716,7489,10200,1,一條路,tsi̍t tiâu lōo,
7717,7489,10200,2,兩條索仔,nn̄g tiâu soh-á,兩條繩子
7718,7489,10200,6,這條錢,tsit tiâu tsînn,這筆錢
7719,7489,10200,7,代誌大條,tāi-tsì tuā tiâu,事情嚴重
7720,7489,10201,1,法條,huat tiâu,
7721,7489,10201,2,條理,tiâu-lí,
7722,7490,10202,1,老人骨頭梢梢。,Lāu-lâng kut-thâu sau-sau. ,老人家骨頭容易脆裂。
7723,7490,10203,1,梢聲,sau-siann,聲音沙啞
7724,7491,10204,1,梨仔,lâi-á,梨
7725,7492,10205,1,柴梯,tshâ-thui,木梯
7726,7492,10205,2,樓梯,lâu-thui,
7727,7493,10206,1,你欲去無？,Lí beh khì--bô? ,你要去嗎？
7728,7493,10207,1,欲落雨矣。,Beh lo̍h-hōo--ah. ,要下雨了。
7729,7493,10207,2,天欲光矣。,Thinn beh kng--ah. ,天要亮了。
7730,7493,10208,1,欲我，早就佮伊變面矣。,"Beh guá, tsá tō kah i pìnn-bīn--ah. ",要是我，我早就跟他翻臉了。
7731,7494,10209,1,欶管,suh-kóng,吸管
7732,7494,10209,2,欶薰,suh hun,吸煙
7733,7495,10210,1,欸，哪會按呢？,"Eh, ná ē án-ne? ",咦，怎麼會這樣？
7734,7496,10211,1,殺人免用刀。,Sat jîn bián iōng to. ,殺人不用刀。
7735,7496,10212,1,心肝真殺,sim-kuann tsin sat,心狠手辣
7736,7496,10213,1,食殺，穿拍結。,"Tsia̍h sat, tshīng phah-kat. ",吃捨得，穿得打結。指在食物上揮霍，穿著卻衣衫襤褸。
7737,7496,10213,2,伊做生理真殺。,I tsò-sing-lí tsin sat. ,他做生意捨得降價求售。
7738,7497,10214,1,臭跤液,tshàu-kha-sio̍h,臭腳汗
7739,7497,10214,2,手液,tshiú-sio̍h,手汗
7740,7497,10214,3,臭液味,tshàu-sio̍h bī,肉類腐壞的氣味
7741,7498,10215,1,外口較涼,guā-kháu khah liâng,外面比較涼
7742,7498,10215,2,風涼涼,hong liâng-liâng,風涼涼的
7743,7498,10216,1,伊彼缺上涼。,I hit khueh siōng liâng. ,他那個職缺最輕鬆。
7744,7498,10216,2,心涼脾土開。,Sim liâng pî-thóo khui. ,心情輕鬆胃口便好。
7745,7499,10217,1,瘦田𠢕欶水。,Sán tshân gâu suh tsuí. ,貧瘠的田地很會吸水。引申為嘲諷瘦子食量很大。
7746,7501,10219,1,天氣遮熱，足想欲食涼水。,"Thinn-khì tsiah jua̍h, tsiok siūnn-beh tsia̍h liâng-tsuí. ",天氣這麼熱，很想喝冰冰涼涼的飲料。
7747,7503,10221,1,王的昨暝棄世矣！,Ông--ê tsa-mê khì-sè--ah! ,老王昨夜過世了！
7748,7504,10222,1,嬰仔咧欶奶。,Enn-á teh suh ling. ,嬰兒在吸奶。
7749,7507,10225,1,伊佇遐哭甲欲死欲活，是發生啥物代誌？,"I tī hia khàu kah beh-sí-beh-ua̍h, sī huat-sing siánn-mih tāi-tsì? ",他在那裡哭得死去活來，到底發生什麼事情？
7750,7508,10226,1,你叫我欲呢？,Lí kiò guá beh-nî? ,你叫我要做什麼？
7751,7509,10227,1,你佮恁老爸平條直。,Lí kah lín lāu-pē pênn tiâu-ti̍t. ,你和你爸一樣憨直。
7752,7509,10228,1,是按怎這件代誌到這馬猶未條直？,Sī-án-tsuánn tsit kiānn tāi-tsì kàu tsit-má iáu-buē tiâu-ti̍t? ,為什麼這件事到現在還沒擺平？
7753,7509,10229,1,工課我家己做做咧較條直！,Khang-khuè guá ka-kī tsò-tsò--leh khah tiâu-ti̍t! ,工作我自己來做還比較乾脆！
7754,7510,10230,1,欲知金仔會起大價，我早就愛加買寡起來囥。,"Beh-tsai kim-á ē khí tuā-kè, guá tsá tō ài ke bé kuá khì-lâi khǹg. ",早知道黃金會漲這麼多，我早該多買些起來放。
7755,7519,10238,1,彼款餅梢梢，老歲仔嘛食有法。,"Hit khuán piánn sau-sau, lāu-huè-á mā tsia̍h ū huat. ",那種餅乾鬆脆易散，老年人也能輕易吃。
7756,7523,10243,1,伊做著涼勢涼勢，別人來做就無遐熟手！,"I tsò-tio̍h liâng-sè liâng-sè, pa̍t-lâng lâi tsò tō bô hiah si̍k-tshiú! ",他做起來輕鬆自在，別人來做就沒那麼順手！
7757,7524,10244,1,這是我親手做的，做了毋是真好，請你毋通棄嫌。,"Tse sī guá tshin-tshiú tsò--ê, tsò liáu m̄-sī tsin hó, tshiánn-lí m̄-thang khì-hiâm. ",這是我親手做的，做得不是很好，請勿嫌棄。
7758,7525,10245,1,欲暗仔外口較涼，若欲出門，愛加疊一領衫。,"Beh-àm-á guā-kháu khah liâng, nā beh tshut mn̂g, ài ke tha̍h tsi̍t niá sann. ",傍晚時外面較涼，如要出門要多加一件衣服。
7759,7528,10248,1,我喝甲嚨喉強欲梢聲矣，伊猶是無咧共我信篤。,"Guá huah kah nâ-âu kiōng-beh sau-siann--ah, i iáu sī bô teh kā guá sìn-táu. ",我喊得聲音幾乎要沙啞了，他還是不把我的話當一回事。
7760,7530,10250,1,淋雨,lâm-hōo,
7762,7530,10250,2,淋模,lâm bôo,把材料灌進模型中
7764,7531,10251,1,淘井,tô tsénn,
7765,7532,10252,1,英雄淚,ing-hiông luī,
7766,7532,10252,2,蠟燭淚,la̍h-tsik luī,
7767,7533,10253,1,遮的水誠深。,Tsia ê tsuí tsiânn tshim. ,這裡的水很深。
7768,7533,10253,2,深海,tshim-hái,
7769,7533,10254,1,這塊碗較深，會使貯較濟湯。,"Tsit tè uánn khah tshim, ē-sái té khah tsē thng. ",這個碗比較深，能盛比較多的湯。
7770,7533,10255,1,交情深,kau-tsîng tshim,
7771,7533,10256,1,學問真深,ha̍k-būn tsin tshim,學問很淵博
7772,7533,10257,1,深山林內,tshim-suann-nâ-lāi,深山裡
7773,7533,10257,2,年久月深,nî-kú-gue̍h-tshim,時間經歷很久
7774,7534,10258,1,淹水,im-tsuí,
7775,7534,10258,2,淹過,im--kuè,淹過、蓋過
