序號,方言差編碼,詞目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
545,[方1]0546,膝頭,"跤腕　kha-uánn, 跤頭趺　kha-thâu-u",跤頭腕　kha-thâu-uánn,跤頭趺　kha-thâu-u,跤頭趺　kha-thâu-u,"跤頭趺　kha-thâu-u, 跤頭腕　kha-thâu-uánn",跤頭趺　kha-thâu-u,跤頭趺　kha-thâu-u,跤頭趺　kha-thâu-u,跤頭趺　kha-thâu-u,跤頭趺　kha-thâu-u
546,[方1]0547,膀胱,膀胱　pông-kong,膀胱　pông-kong,膀胱　pông-kong,膀胱　phông-kong,膀胱　phông-kong,膀胱　phông-kong,膀胱　pông-kong,膀胱　phông-kong,膀胱　pông-kong,膀胱　phông-kong
548,[方1]0549,精子,潲　siâu,潲　siâu,潲　siâu,潲　siâu,潲　siâu; siôr,潲　siâu,潲　siâu,潲　siâu,潲　siâu,潲　siâu
551,[方1]0552,鬍鬚,喙鬚　tshuì-tshiu,喙鬚　tshuì-tshiu,喙鬚　tshuì-tshiu,喙鬚　tshuì-tshiu,喙鬚　tshuì-tshiu,喙鬚　tshuì-tshiu,喙鬚　tshuì-tshiu,喙鬚　tshuì-tshiu,喙鬚　tshuì-tshiu,喙鬚　tshuì-tshiu
552,[方1]0553,絡腮鬍,鬍鬚　hôo-tshiu,鬍鬚　hôo-tshiu,鬍鬚　hôo-tshiu,鬍鬚　hôo-tshiu,鬍鬚　hôo-tshiu,"透鬢鬍　thàu-pìn-hôo, 鬍鬚　hôo-tshiu",鬍鬚　hôo-tshiu,鬍鬚　hôo-tshiu,鬍鬚　hôo-tshiu,鬍鬚　hôo-tshiu
553,[方1]0554,打赤膊,改孤裼　kái-koo-thueh,褪腹裼　thǹg-pak-theh,褪腹裼　thǹg-pat-theh,褪腹裼　thuìnn-pak-theh,褪腹裼　thǹg-pak-theh,褪腹裼　thǹg-pak-theh,褪腹裼　thǹg-pat-theh,褪腹裼　thǹg-pak-theh,褪腹裼　thǹg-phat-theh,"褪腹裼　thǹg-bat-theh, 褪破裼　thǹg-phuà-theh"
554,[方1]0555,對不起,失禮　sit-lé,失禮　sit-lé,失禮　sit-lé,失禮　sit-lé,失禮　sit-lé,失禮　sit-lé,失禮　sit-lé,失禮　sit-lé,失禮　sit-lé,失禮　sit-lé
555,[方1]0556,謝謝,"多謝　to-siǎ, 勞力　lóo-la̍t",勞力　lóo-la̍t,"多謝　to-siā, 勞力　lóo-la̍t","多謝　to-siā, 勞力　lóo-la̍t, 感恩　kám-un","多謝　tor-siā, 勞力　lóo-la̍t, 感恩　kám-un","多謝　to-siā, 勞力　lóo-la̍t, 感恩　kám-un","勞力　lóo-la̍t, 多謝　to-siā","勞力　lóo-la̍t, 多謝　to-siā","勞力　lóo-la̍t, 多謝　to-siā","勞力　lóo-la̍t, 多謝　to-siā"
556,[方1]0557,不好意思,歹勢　phái-sè,歹勢　pháinn-sè,歹勢　pháinn-sè,歹勢　pháinn-sè,歹勢　pháinn-sè,歹勢　pháinn-sè,歹勢　phái-sè,歹勢　phái-sè,歹勢　phái-sè,歹勢　pháinn-sè
557,[方1]0558,禮物,伴手　phuǎnn-tshiú,伴手　phuānn-tshiú,伴手　phuānn-tshiú,"伴手　phuānn-tshiú, 等路　tán-lōo","手素料　tshiú-sòo-liāu, 伴手　phuānn-tshiú, 等路　tán-lōo","伴手　phuānn-tshiú, 等路　tán-lōo",帶手　tuà-tshiú,伴手　phuānn-tshiú,"帶手物　tuà-tshiú-mn̍gh, 伴手　phuānn-tshiú, 等路　tán-lōo",等路　tán-lōo
558,[方1]0559,討老婆,娶某　tshuǎ-bóo,娶某　tshuā-bóo,娶某　tshuā-bóo,"建治家後　kiàn-tī-ke-āu, 娶某　tshuā-bóo",娶某　tshuā-bóo,"建治家後　kiàn-tī-ke-āu, 娶某　tshuā-bóo",娶某　tshuā-bóo,娶某　tshuā-bóo,娶某　tshuā-bóo,娶某　tshuā-bóo
559,[方1]0560,嫁女兒,嫁查某囝　kè-tsa̋u-kánn,嫁查某囝　kè-tsa̋u-kiánn,嫁查某囝　kè-tsa̋u-kiánn,嫁查某囝　kè-tsa-bóo-kiánn,嫁查某囝　kè-tsőo-kiánn,嫁查某囝　kè-tsa-bóo-kiánn,嫁查某囝　kè-tsa-bóo-kiánn; kè-tsőo-kiánn ,嫁查某囝　kè-tsa-bóo-kiánn,嫁查某囝　kè-tsa-bóo-kiánn,嫁查某囝　kè-tsa-bóo-kiánn; kè-tsa̋u-kiánn
560,[方1]0561,新娘,新娘　sin-niû,新娘　sin-niû,新娘　sin-niû,新娘　sin-niû,新娘　sin-niôo,新娘　sin-niû,新娘　sin-niû,新娘　sin-niû,新娘　sin-niû,新娘　sin-niû
561,[方1]0562,男儐相,伴行　phuǎnn-kiânn,伴娶　phuānn-tshuā,囝婿伴　kiánn-sài-phuānn,囝婿伴　kiánn-sài-phuānn,伴娶　phuānn-tshuā,伴娶　phuānn-tshuā,伴娶　phuānn-tshuā,囝婿牚　kiánn-sài-thìnn,伴娶　phuānn-tshuā,伴娶　phuānn-tshuā
562,[方1]0563,女儐相,伴行　phuǎnn-kiânn,伴嫁　phuānn-kè,"送嫁　sàng-kè, 新娘牚　sin-niû-thìnn",伴娘　phuānn-niû,伴嫁　phuānn-kè,伴嫁　phuānn-kè,伴嫁　phuānn-kè,伴嫁　phuānn-kè,伴嫁　phuānn-kè,伴嫁　phuānn-kè
563,[方1]0564,懷孕,"有身　ǔ-sin, 病囝　pǐnn-kánn",有身　ū-sin,"有身　ū-sin, 病囝　pīnn-kiánn","大腹肚　tuā-bak-tóo, 有身　ū-sin, 病囝　pēnn-kiánn","大腹肚　tuā-bak-tóo, 有身　ū-sin, 病囝　pēnn-kiánn","大腹肚　tuā-bak-tóo, 有身　ū-sin, 病囝　pēnn-kiánn",有身　ū-sin,有身　ū-sin,"有身　ū-sin, 大腹肚　tuā-pak-tóo","有身　ū-sin, 大腹肚　tuā-bat-tóo"
564,[方1]0565,流產,落胎　làu-ther,落胎　làu-ther,落胎　làu-the,落胎　làu-the,落胎　làu-the,落胎　làu-the,"交落身　ka-la̍uh-sin, 落胎　làu-ther, 脫胎　thu̍t-ther",落胎　làu-the,落胎　làu-ther; làu-the,落胎　làu-the
565,[方1]0566,周歲,度晬　tǒo-tsèr,度晬　tōo-tsèr,度晬　tōo-tsè,度晬　tōo-tsè,度晬　tōo-tsè,度晬　tōo-tsè,度晬　tōo-tsèr,度晬　tōo-tsè,度晬　tōo-tsèr; tōo-tsè,度晬　tōo-tsè
566,[方1]0567,出殯,出山　tshut-suann,出山　tshut-suann,出山　tshut-suann,"出山　tshut-suann, 送山頭　sàng-suann-thâu","出山　tshut-suann, 送山頭　sàng-suann-thâu","出山　tshut-suann, 送山頭　sàng-suann-thâu","出山　tshut-suann, 出葬　tshut-tsòng",出山　tshut-suann ,出山　tshut-suann,出山　tshut-suann
567,[方1]0568,墓地,"崙仔頂　lūn-á-tíng, 塚仔埔　thióng-á-poo, 墓　bōo","風水　hong-suí, 墓　bōo","風水　hong-suí, 塚仔埔　thióng-á-poo, 墓　bōo; bōng, 墓仔埔　bāng-á-poo","風水　hong-tsuí, 塚仔埔　thióng-á-poo, 墓　bōng, 墓仔埔　bōng-á-poo","風水　hong-suí, 塚仔埔　thióng-á-poo, 墓　bōng, 墓仔埔　bōng-á-poo","風水　hong-suí, 塚仔埔　thióng-á-poo, 墓　bōng, 墓仔埔　bōng-á-poo",風水　hong-suí,風水　hong-suí,墓仔埔　bōng-á-poo,墓仔埔　bōng-á-poo
568,[方1]0569,棺木雅稱,"大壽　tuǎ-siǔ, 壽　siǔ",壽板　siū-pán,"大壽　tuā-siū, 壽板　siū-pán","大壽　tuā-siū, 壽板　siū-pán","大厝　tuā-tshù, 大壽　tuā-siū, 新厝　sin-tshù, 壽　siū","壽　siū, 壽板　siū-pán","壽板　siū-pán, 壽枋　siū-pang, 大厝　tuā-tshù, 棺木　kuan-bo̍k",壽　siū ,大壽　tuā-siū,棺木　kuan-bo̍k
569,[方1]0570,掃墓,培墓　pěr-bōo,"培墓　pěr-bōo, 掃墓　sàu-bōo","掃墓　sàu-bōo, 揫墓　tshiû-bōo",拜墓　pài-bōng,培墓　puē-bōng,培墓　puē-bōng,掃墓　sàu-bōo,"上墓　tshiūnn-bōo, 挂墓紙　kuì-bōo-tsuá",掃墓　sàu-bōo,"培墓　puē-bōng, 挂墓紙　kuì-bōng-tsuá, 硩墓紙　teh-bōng-tsuá"
570,[方1]0571,工作,"工課　khang-khèr, 頭路　thâu-lōo, 職業　tsit-gia̍p","頭路　thâu-lōo, 職業　tsit-gia̍p",頭路　thâu-lōo,"工課　khang-khuè, 頭路　thâu-lōo, 職業　tsit-gia̍p","工課　khang-khuè, 頭路　thâu-lōo, 穡頭　sit-thâu, 職業　tsit-gia̍p","工課　khang-khuè, 頭路　thâu-lōo, 穡頭　sit-thâu, 職業　tsit-gia̍p","頭路　thâu-lōo, 工課　khang-khèr; khang-khìr",工課　khang-khè,"頭路　thâu-lōo, 工課　khang-khìr ","頭路　thâu-lōo, 工課　khang-khuè, 穡頭　sit-thâu "
571,[方1]0572,木匠,"木匠　ba̍k-tshiūnn, 做木的　tsuè-ba̍k--ê",木匠師　ba̍k-tshiūnn-sai,"木匠　ba̍k-tshiūnn, 做木的　tsuè-ba̍k--ê","木匠　ba̍k-tshiūnn, 做木的　tsò-ba̍k--ê","木匠　ba̍k-tshiōnn, 木師　ba̍k-sai","木匠　ba̍k-tshiūnn, 做木的　tsòr-ba̍k--ê",做木个　tsuè-ba̍k--ê,做木个　tsuè-ba̍k--ê,木匠　ba̍k-tshiūnn,木匠　ba̍k-tshiūnn
572,[方1]0573,泥水工,做塗水　tsuè-thôo-tsuí,塗水　thôo-tsuí,做塗水的　tsuè-thôo-tsuí--ê,塗水師　thôo-tsuí-sai,塗水師　thôo-tsuí-sai,塗水師　thôo-tsuí-sai,塗師　thôo-sai,塗水師　thôo-tsuí-sai,塗水師　thôo-tsuí-sai,"塗水師　thôo-tsuí-sai, 做塗水的　tsò-thôo-tsuí--ê"
573,[方1]0574,廚師,總舖　tsóng-phòo,"廚子　tôo-tsí, 總舖　tsóng-phòo",總舖　tsóng-phòo,"煮食的　tsú-tsiā--ê, 廚子　tôo-tsí, 總舖師　tsóng-phòo-sai","廚子　tôo-tsí, 總舖　tsóng-phòo","廚子　tôo-tsí, 總舖　tsóng-phòo","總舖　tsóng-phòo, 館棧　kuán-tsàn",總舖　tsóng-phòo ,總舖師　tsóng-phòo-sai,"總舖師　tsóng-phòo-sai, 廚子　tô-tsí"
574,[方1]0575,律師,"律師　lu̍t-sir, 辯護士　piǎn-hōo-sǐr",律師　lu̍t-sir,律師　lu̍t-su,"律師　lu̍t-su, 辯護士　piān-hōo-sū","律師　lu̍t-su, 辯護士　piān-hōo-sū","律師　lu̍t-su, 辯護士　piān-hōo-sū",狀師　tsn̄g-sir,律師　lu̍t-su,律師　lu̍t-sir,"律師　lu̍t-si, 辯護士　piān-hōo-sū"
575,[方1]0576,妓女,趁食查某　thàn-tsia̍h-tsa-bóo,趁食查某　thàn-tsiā-tsa-bóo,"趁食查某　thàn-tsia̍h-tsa-bóo, 菜店查某　tshài-tiàm-tsa-bóo","菜店查某　tshài-tiàm-tsa-bóo, 趁食查某　thàn-tsiā-tsa-bóo","豆菜底的　tāu-tshài-té--ê, 菜店查某　tshài-tiàm-tsa-bóo, 趁食查某　thàn-tsia̍h-tsa-bóo, 貓仔　niau-á, 咧趁的　leh-thàn--ê","菜店查某　tshài-tiàm-tsa-bóo, 趁食查某　thàn-tsia̍h-tsa-bóo","趁食查某　thàn-tsia̍h-tsa-bóo, 相楗的　sann-kāinn--ê","趁食查某　thàn-tsia̍h-tsa-bóo, 菜店查某　tshài-tiàm-tsa-bóo, 菜店彪　tshài-tiàm-piu　",趁食查某　thàn-tsia̍h-tsa-bóo　 ,趁食查某　thàn-tsia̍h-tsa-bóo　 
576,[方1]0577,和尚,和尚　hêr-siǔnn,和尚　hêr-siūnn,和尚　hê-siūnn,和尚　huê-siūnn,和尚　huê-siōnn,和尚　huê-siūnn,和尚　hêr-siūnn,和尚　hê-siūnn,和尚　hêr-siūnn; hê-siūnn,和尚　huê-siūnn
577,[方1]0578,牽亡魂,"𤆬路　tshuǎ-lōo, 牽亡　khan-bông",牽亡　khan-bông,牽亡　khan-bông,牽亡　khan-bông,牽亡　khan-bông,牽亡　khan-bông,揣三姑　tshēr-sann-koo,"牽亡　khan-bông, 問尪姨　mn̄g-ang-î","牽紅姨　khan-âng-î, 牽亡　khan-bông",牽亡　khan-bông
578,[方1]0579,乞丐,乞食　khit-tsia̍h,乞食　khit-tsiā,乞食　khit-tsia̍h,乞食　khit-tsiā,乞食　khit-tsia̍h,乞食　khit-tsia̍h,乞食　khit-tsia̍h,乞食　khit-tsia̍h,乞食　khit-tsia̍h,乞食　khit-tsia̍h
579,[方1]0580,醫生,"先生　sian-sinn, 醫生　i-sing","先生　sian-sinn, 醫生　i-sing","先生　sian-sinn, 醫生　i-sing","先生　sin-senn, 醫生　i-sing","先生　sian-senn, 醫生　i-sing","先生　sian-sinn, 醫生　i-sing",先生　sian-sinn,"先生　sian-sinn, 醫生　i-sing","先生　sian-sinn, 醫生　i-sing ","先生　sin-senn, 醫生　i-sing "
580,[方1]0581,護士,護士　hōo-sīr,護士　hōo-sīr,護士　hōo-sū,護士　hōo-sū,"看護婦　khàn-hōo-hū, 護士　hōo-sū","看護婦　khàn-hōo-hū, 護士　hōo-sū",護士　hōo-sīr,護士　hōo-sū,"護士　hōo-sīr, 看護婦　khàn-hōo-hū; khàn-lōo-hū","護士　hōo-sū, 看護婦　khàn-hōo-hū"
581,[方1]0582,靈媒,牽尪姨　khan-ang-î,尪姨　ang-î,尪姨　ang-î,"尪姨　ang-î, 牽尪姨　khan-ang-î","尪姨　ang-î, 牽尪姨　khan-ang-î","尪姨　ang-î, 牽尪姨　khan-ang-î",三姑　sann-koo,紅姨　âng-î,紅姨　âng-î,紅姨　âng-înn
582,[方1]0583,先生,先生　sian-sinn,先生　sian-sinn,先生　sian-sinn,先生　sin-senn,先生　sian-senn,先生　sian-sinn,先生　sian-sinn,暫無資料　,先生　sian-sinn,先生　sin-senn
583,[方1]0584,小姐,小姐　sió-tsiá,小姐　sió-tsiá,小姐　sió-tsiá,查某囡仔　tsa-bóo-gín-á,"小姐　sia̋u-tsê, 查某囡仔　tsa-bóo-gín-á","xx姊仔　xx tsé--á, 小姐　sia̋u-tsê, 查某囡仔　tsa-bóo-gín-á",小姐　sió-tsiá,暫無資料　,小姐　sió-tsiá,小姐　sió-tsiá
584,[方1]0585,小孩子,囡仔　gín-á,囡仔　gín-á,囡仔　gín-á,囡仔　gín-á,"囡仔　gín-á, 囡仔人　gín-á-lâng, 囡仔囝　gín-á-kiánn","囡仔　gín-á, 囡仔人　gín-á-lâng, 囡仔囝　gín-á-kiánn",囡仔　gín--á,囡仔　gín--á,囡仔　gín-á,囡仔　gín-á
585,[方1]0586,老板,頭家　thâu-ke,頭家　thâu-ke,"老板　láu-pán, 頭家　thâu-ke","老板　láu-pán, 頭家　thâu-ke","老板　láu-pán, 頭家　thâu-ke",頭家　thâu-ke,頭家　thâu--ke,頭家　thâu-ke,頭家　thâu-ke,頭家　thâu-ke
586,[方1]0587,人數,跤數　kha-siàu,跤手　kha-tshiú,跤數　kha-siàu,跤數　kha-siàu,跤數　kha-siàu,跤數　kha-siàu,跤數　kha-siàu,跤數　kha-siàu,"跤手　kha-tshiú, 跤數　kha-siàu","跤手　kha-tshiú, 跤數　kha-siàu"
587,[方1]0588,市場,市場　tshī-tiûnn,市場　tshī-tiûnn,市場　tshī-tiûnn,市場　tshī-tiûnn,市場　tshī-tiônn,市場　tshī-tiûnn,市場　tshī-tiûnn,市場　tshī-tiûnn,市場　tshī-tiûnn,市場　tshī-tiûnn
588,[方1]0589,雜貨店,"𥴊仔店　kám-á-tiàm, 雜貨仔店　tsa̍p-hèr-á-tiàm",𥴊仔店　kám-á-tiàm,"𥴊仔店　kám-á-tiàm, 雜貨仔店　tsa̍p-hè-á-tiàm","𥴊仔店　kám-á-tiàm, 雜貨仔店　tsa̍p-huè-á-tiàm","𥴊仔店　kám-á-tiàm, 雜貨仔店　tsa̍p-huè-á-tiàm",𥴊仔店　kám-á-tiàm,𥴊仔店　kám-á-tiàm,雜貨仔店　tsa̍p-hè-á-tiàm,"𥴊仔店　kám-á-tiàm, 雜貨仔店　tsa̍p-hèr-á-tiàm, 雜稅仔店　tsa̍p-sèr-á-tiàm","𥴊仔店　kám-á-tiàm, 雜貨仔店　tsa̍p-huè-á-tiàm"
589,[方1]0590,唱片,曲盤　khik-puânn,曲盤　khik-puânn,"曲盤　khik-puânn, 唱片　tshiùnn-phìnn","曲盤　khik-puânn, 唱片　tshiùnn-phìnn","曲盤　khik-puânn, 唱片　tshiòr-phìnn","曲盤　khik-puânn, 唱片　tshiùnn-phìnn",唱盤　tshiùnn-puânn,"唱片　tshiùnn-phìnn, 曲盤　khik-puânn","唱片　tshiùnn-phìnn, 曲盤　khik-puânn, レコード　le33-khoo51-too11","唱片　tshiùnn-phìnn, 曲盤　khik-puânn"
590,[方1]0591,虧本,"了錢　liáu-tsînn, 蝕本　si̍h-pńg",蝕本　sī-pún,"了錢　liáu-tsînn, 蝕本　si̍h-pún","了錢　liáu-tsînn, 蝕本　sī-pún","了錢　liáu-tsînn, 蝕本　si̍h-pún","了錢　liáu-tsînn, 蝕本　si̍h-pún","了錢　liáu-tsînn, 蝕本　si̍h-pún, 了本　liáu-pún, 了去　liáu--khìr",了錢　liáu-tsînn,"了錢　liáu-tsînn, 蝕本　si̍h-pún ",了錢　liáu-tsînn 
591,[方1]0592,存錢,儉錢　khiǎm-tsînn,"儉錢　khiām-tsînn, 儲蓄　thîr-thiok",儉錢　khiām-tsînn,儉錢　khiām-tsînn,儉錢　khiām-tsînn,儉錢　khiām-tsînn,儉錢　khiām-tsînn,儉錢　khiām-tsînn,儉錢　khiām-tsînn,儉錢　khiām-tsînn
592,[方1]0593,找錢,找錢　tsǎu-tsînn,找錢　tsāu-tsînn,找錢　tsāu-tsînn,找錢　tsāu-tsînn,找錢　tsāu-tsînn,找錢　tsāu-tsînn,找錢　tsāu-tsînn,找錢　tsāu-tsînn,找錢　tsāu-tsînn,找錢　tsāu-tsînn
593,[方1]0594,鐵路,鐵路　thih-lǒo,鐵路　thih-lōo,鐵路　thih-lōo,鐵枝路　thih-ki-lōo,鐵枝路　thih-ki-lōo,鐵枝路　thih-ki-lōo,鐵路　thih-lōo,"鐵路　thih-lōo, 鐵道路　thih-tō-lōo","鐵路　thih-lōo, 鐵枝路　thih-ki-lōo","鐵枝仔路　thih-ki-á-lōo, 鐵路　thih-lōo"
594,[方1]0595,三輪車,三輪車　sann-lián-tshia,三輪車　sann-lián-tshia,三輪車　sann-lián-tshia,三輪車　sann-lián-tshia,三輪車　sann-lián-tshia,三輪車　sann-lián-tshia,三輪仔車　sann-lún-á-tshia,三輪車　sann-lín-tshia ,三輪仔車　sann-lián-á-tshia,三輪車　sann-lián-tshia
595,[方1]0596,車站,"車站　tshia-tsām, 車頭　tshia-thâu",車頭　tshia-thâu,"車站　tshia-tsām, 車頭　tshia-thâu",車頭　tshia-thâu,"車站　tshia-tsām, 車頭　tshia-thâu","車站　tshia-tsām, 車頭　tshia-thâu","車頭　tshia-thâu, 車站　tshia-tsām","車頭　tshia-thâu, 車站　tshia-tsām",車頭　tshia-thâu,"車頭　tshia-thâu, 車站　tshia-tsām"
596,[方1]0597,碼頭,碼頭　bé-thâu,碼頭　bé-thâu,"渡船頭　tōo-tsûn-thâu, 港口　káng-kháu, 碼頭　bé-thâu","港口　káng-kháu, 碼頭　bé-thâu","港口　káng-kháu, 碼頭　bé-thâu",碼頭　bé-thâu,碼頭　bé-thâu,碼頭　bé-thâu,碼頭　bé-thâu,碼頭　bé-thâu
597,[方1]0598,腳踏車,"自轉車　tsǐr-tsuán-tshia, 鐵馬　thih-bé",跤踏車　kha-ta̍h-tshia,"孔明車　khóng-bîng-tshia, 自輪車　tsū-lián-tshia, 跤踏車　kha-ta̍h-tshia","自轉車　tsū-tsuán-tshia, 跤踏車　kha-ta̍h-tshia, 鐵馬　thih-bé","自輪車　tsū-lián-tshia, 自轉車　tsū-tsuán-tshia, 動輪車　tōng-lián-tshia, 跤踏車　kha-ta̍h-tshia, 鐵馬　thih-bé","自轉車　tsū-tsuán-tshia, 動輪車　tōng-lián-tshia, 跤踏車　kha-ta̍h-tshia","跤踏車　kha-ta̍h-tshia, 孔明車　khóng-bîng-tshia",跤踏車　kha-ta̍h-tshia ,"自輪車　tsīr-lián-tshia, 跤踏車　kha-ta̍h-tshia, 鐵馬　thih-bé","鐵馬　thih-bé, 跤踏車　kha-ta̍h-tshia"
598,[方1]0599,飛機,飛行機　hui-hîng-ki,飛行機　hui-hîng-ki,"飛行機　hue-lîng-ki, 飛機　hui-ki",飛行機　hui-lîng-ki,飛行機　pue-lîng-ki,飛行機　hue-lîng-ki,飛船　per-tsûn,飛行機　hue-nn̄g-ki,飛行機　hue-lîng-ki,飛行機　hue-lîng-ki
599,[方1]0600,發冷顫,交懍恂　ka-lún-sún,交懍恂　ka-nńg-sńg; ka-nńg-sún,交懍恂　ka-nńg-sún; ka-lún-sún,交懍恂　ka-lún-sún,交懍恂　ka-líng-sún; ka-lún-sún,交懍恂　ka-lún-sún,交懍恂　ka-nńg-sún,交懍恂　ka-nńg-sún,交懍恂　ka-lún-sún,交懍恂　ka-lún-sún
600,[方1]0601,耳聾,臭耳聾　tshàu-hǐ-lâng,臭耳聾　tshàu-hī-lâng,臭耳聾　tshàu-hī-lâng,臭耳聾　tshàu-hīnn-lâng,臭耳聾　tshàu-hīnn-lâng,臭耳聾　tshàu-hīnn-lâng,臭耳聾　tshàu-hī-lâng,臭耳聾　tshàu-hī-lâng,臭耳聾　tshàu-hī-lâng,臭耳聾　tshàu-hīnn-lâng
602,[方1]0603,痔瘡,痔瘡　tǐ-tshng,起背仔　khí-pèr-á,痔瘡　tī-tshng,痔瘡　tī-tshng,痔瘡　tī-tshng,痔瘡　tī-tshng,痔瘡　tī-tshng,痔瘡　tī-tshng,痔瘡　tī-tshng,痔瘡　tī-tshng
603,[方1]0604,駝背,隱痀　ún-ku,"曲痀　khiau-ku, 隱痀　ún-ku","曲痀　khiau-ku, 酥腰　soo-io, 儳腰　sām-io",曲痀　khiau-ku,曲痀　khiau-ku,曲痀　khiau-ku,曲痀　khiau-ku,曲痀　khiau-ku,"曲痀　khiau-ku, 隱痀　ún-ku","曲痀　khiau-ku, 隱痀　ún-ku"
604,[方1]0605,癱瘓,半遂　puàn-suǐ,半遂　puàn-suī,變遂　piàn-suī,半遂　puànn-suī,變遂　piàn-suī,變遂　piàn-suī,變遂　piàn-suī,變遂　piàn-suī,半遂　puàn-suī,半遂　puàn-suī
606,[方1]0607,大舌頭,大舌　tuǎ-tsi̍h,大舌　tuā-tsī,大舌　tuā-tsi̍h,大舌　tuā-tsī,大舌　tuā-tsi̍h,大舌　tuā-tsi̍h,大舌口　tuā-tsi̍h-kháu,"大舌　tuā-tsi̍h, 重句　tîng-kù",大舌　tuā-tsi̍h,大舌　tuā-tsi̍h
607,[方1]0608,天花,出珠　tshut-tsu,出珠　tshut-tsu,出珠　tshut-tsu,出水珠　tshut-tsuí-tsu,"天然痘　thian-jiân-tāu, 出珠　tshut-tsu","天然痘　thian-jiân-tāu, 出珠　tshut-tsu",出癖　tshut-phia̍h,天花　thian-hue,著烏珠　tio̍h-oo-tsu,暫無資料　
608,[方1]0609,羊顛瘋,羊眩　iûnn-hîn,羊眩　iûnn-hîn,羊眩　iûnn-hîn,"羊眩　iûnn-hîn, 豬母癲　ti-bó-tian","羊眩　iônn-hîn, 豬母癲　ti-bór-tian","羊眩　iûnn-hîn, 豬母癲　ti-bór-tian",羊頭眩　iûnn-thâu-hîn,羊眩　iûnn-hîn,"羊眩　iûnn-hîn, 豬母癲　tir-bú-tian; ti-bú-tian","羊眩　iûnn-hîn, 豬母癲　ti-bó-tian"
609,[方1]0610,傳染,穢人　èr--lâng,穢人　èr--lâng,穢人　è--lâng,"過　kuè, 穢　uè","過　kuè, 穢　uè, 穢人　uè--lâng",穢人　uè--lâng,穢　èr,"過著　kè--tio̍h, 穢　è, 傳染　thuân-jiám",穢　è,穢　uè
610,[方1]0611,生癰,癰　ing,癰　ing,臭肉癰仔　tshàu-bah-ing-á,癰仔　ing-á,癰仔　ing-á,癰仔　ing-á,生癰　sinn-ing,生癰　sinn-ing,生癰仔　sinn-ing-á,生癰　senn-ing
611,[方1]0613,拉肚子,"滾絞疼　kún-ká-thiànn, 落屎　làu-sái","疶屎　tshuah-sái, 落屎　làu-sái","疶屎　tshuah-sái, 落屎　làu-sái","疶屎　tshuah-sái, 落屎　làu-sái, 攪絞　kiáu-ká","疶屎　tshuah-sái, 落屎　làu-sái, 攪絞　kiáu-ká","疶屎　tshuah-sái, 落屎　làu-sái",落屎　làu-sái,落屎　làu-sái,落屎　làu-sái,"落屎　làu-sái, 歹腹肚　pháinn-bat-tóo　"
612,[方1]0614,衣櫃,"大櫥　tuǎ-tû, 簞笥　thang51-su11",簞笥　thang51-sirh3,簞笥　thang51-su11,簞笥　thang51-su11,簞笥　thang51-suh3,簞笥　thang51-suh3,衫櫥　sann-tû,簞笥　thang51-su11,衫櫥　sann-tû,衫仔櫥　sann-á-tû
613,[方1]0615,帽子,帽仔　bǒ-á,帽仔　bō-á,帽仔　bō-á,帽仔　bō-á,帽仔　bōr-á,帽仔　bōr-á,帽　bō,帽　bō,帽仔　bō-á,帽仔　bō-á
614,[方1]0616,揹巾,偝巾　iǎng-kun,偝巾　āng-kirn,偝巾　iāng-kun,偝巾　āinn-kin,偝巾　āinn-kin,偝巾　āinn-kin,被偝　phēr-iāng,帕仔　phè--á,偝巾　iāng-kun,偝巾　iāng-kin
615,[方1]0617,井,井　tsínn,井　tsínn,井　tsínn,井　tsénn,井　tsénn,井　tsénn,井　tsínn,井　tsínn,井　tsínn,"井　tsénn, 鼓井　kóo-tsénn"
616,[方1]0618,爸母,爸母　pě-bú,爸母　pē-bú,爸母　pē-bú,爸母　pē-bú,爸母　pē-bú,爸母　pē-bú,爸母　pē-bú,爸母　pē-bú,爸母　pē-bú,爸母　pē-bó
617,[方1]0619,母親(敘述),老母　lǎu-bú,老母　lāu-bú,老母　lāu-bú,老母　lāu-bó,老母　lāu-bór,老母　lāu-bór,"老母　lāu-bú, 俺母　án-bú",老母　lāu-bú,老母　lāu-bú,"老母　lāu-bú, 媽媽　ma-mah"
619,[方1]0621,姊姊,阿姊　a-tsí,阿姊　a-tsí,阿姊　a-tsé,阿姊　a-tsí,阿姊　a-tsé,阿姊　a-tsí,俺姊　án-tsé,阿姊　a-tsé,阿姊　a-tsí,阿姊　a-tsé
621,[方1]0623,兒子,"囝　kánn, 後生　hǎu-sinn","囝　kánn, 後生　hāu-sinn","囝　kiánn, 後生　hāu-sinn","囝　kiánn, 後生　hāu-senn","囝　kiánn, 後生　hāu-senn","囝　kiánn, 後生　hāu-senn","後生　hāu-sinn, 囝　kiánn","後生　hāu-sinn, 囝　kiánn","後生　hāu-sinn, 囝　kiánn","後生　hāu-senn, 後的　hāu--ê, 囝　kiánn　"
