例句編號,主編號,釋義編號,例句順序,例句,例句標音,華語翻譯
5770,5520,7588,1,門閂,mn̂g-tshuànn,
5771,5520,7589,1,你去共門閂起來。,Lí khì kā mn̂g tshuànn--khí-lâi. ,你去把門閂起來。
5772,5521,7590,1,投降,tâu-hâng,
5773,5522,7591,1,降火氣,kàng hué-khì,
5774,5522,7591,2,飛機起降,hui-ki khí kàng,飛機起落
5775,5522,7592,1,鬚聳目降,tshiu tshàng ba̍k kàng,吹鬍子瞪眼，表示怒氣沖沖的樣子。
5776,5523,7593,1,請閣予我限幾日仔。,Tshiánn koh hōo guá ān--kuí-ji̍t-á. ,請再讓我寬延幾日。
5777,5524,7594,1,彼个物件限你明仔載中晝以前予我。,Hit ê mi̍h-kiānn hān lí bîn-á-tsài tiong-tàu í-tsîng hōo--guá. ,那個東西限你明天中午以前給我。
5778,5524,7595,1,有限,iú-hān,
5779,5525,7596,1,重大事件,tiōng-tāi sū-kiānn,
5780,5526,7597,1,下重手,hē tāng-tshiú,出手用力
5781,5527,7599,1,伊真重手頭。,I tsin tāng-tshiú-thâu. ,他的手勁很大。
5782,5528,7600,1,阿玉仔，閣提幾个衫仔弓來！,"A-gio̍k-á, koh the̍h kuí ê sann-á-king lâi! ",阿玉，再拿幾個衣架過來！
5783,5530,7602,1,洗衫仔褲,sé sann-á-khòo,洗衣服
5784,5533,7605,1,自彼擺車禍到今，伊這款講話重句的症頭就一直攏醫袂好勢。,"Tsū hit pái tshia-hō kàu-tann, i tsit khuán kóng-uē tîng-kù ê tsìng-thâu tō it-ti̍t lóng i bē hó-sè. ",自從那次車禍到現在，他這個說話口吃的毛病就一直都治不好。
5785,5534,7606,1,如意郎君,jû-ì lông-kun,
5786,5535,7607,1,伊是專門咧放重利的。,I sī tsuan-bûn teh pàng-tāng-lāi--ê. ,他是專門在放高利貸的。
5787,5536,7608,1,伊的目睭有重巡，真媠。,"I ê ba̍k-tsiu ū tîng-sûn, tsin suí. ",他有雙眼皮，真漂亮。
5788,5538,7610,1,限制六十个人。,Hān-tsè la̍k-tsa̍p ê lâng. ,限制在六十個人。
5789,5538,7611,1,無限制,bô hān-tsè,不限定範圍
5790,5540,7613,1,時間已經迫近矣。,Sî-kan í-king pik-kīn--ah. ,時間已經逼近了。
5791,5541,7614,1,伊彼个人重食無重穿。,I hit ê lâng tiōng-tsia̍h bô tiōng-tshīng. ,他那個人注重飲食不注重穿著。
5792,5543,7616,1,你的罪惡重重疊疊，洗袂清啦！,"Lí ê tsuē-ok tîng-tîng-tha̍h-tha̍h, sé bē tshing--lah! ",你作惡太多，洗不清了！
5793,5545,7618,1,伊這个人真重食。,I tsit ê lâng tsin tiōng-tsia̍h. ,他是一個很重視飲食的人。
5794,5546,7619,1,這領衫是彼領的重倍價。,Tsit niá sann sī hit niá ê tîng-puē kè. ,這件衣服是那件的雙倍價格。
5795,5547,7620,1,月底又閣迫倚矣，愛閣攢會仔錢囉。,"Gue̍h-té iū-koh pik-uá--ah, ài koh tshuân huē-á tsînn--looh. ",月底又近了，又要準備會錢囉。
5796,5549,7622,1,囡仔人較重眠。,Gín-á-lâng khah tiōng-bîn. ,小孩子需要比較長的睡眠時間。
5797,5550,7623,1,代誌去予伊舞一下重耽去矣。,Tāi-tsì khì hōo i bú tsi̍t-ē tîng-tânn--khì--ah. ,事情被他搞得出差錯了。
5798,5552,7625,1,你共我鬥想一个計智來對付伊。,Lí kā guá tàu siūnn tsi̍t ê kè-tì lâi tuì-hù--i. ,你幫我想一個計謀來對付他。
5799,5553,7626,1,擔頭重敧爿。,Tànn-thâu tāng-khi-pîng. ,擔子兩頭輕重不一。
5800,5554,7627,1,伊的計畫猶未完成。,I ê kè-uē iáu-buē uân-sîng. ,他的計畫還沒完成。
5801,5554,7628,1,伊計畫明年欲出國。,I kè-uē mê-nî beh tshut-kok. ,他計畫明年要出國。
5802,5556,7630,1,我已經想無閣較好的計策矣！,Guá í-king siūnn-bô koh-khah hó ê kè-tshik--ah! ,我已經想不出更好的策略了！
5803,5557,7631,1,校長真重視這擺的音樂比賽。,Hāu-tiúnn tsin tiōng-sī tsit pái ê im-ga̍k pí-sài. ,校長很重視這次的音樂比賽。
5804,5561,7635,1,伊去予車挵一下著重傷。,I khì hōo tshia lòng tsi̍t-ē tio̍h tāng-siong. ,他被車撞到，受了重傷。
5805,5562,7636,1,重新做人,tiông-sin tsò-lâng,
5806,5564,7638,1,萬項代誌愛看予伊開，毋通傷計較。,"Bān-hāng tāi-tsì ài khuànn hōo i khui, m̄-thang siunn kè-kàu. ",諸多繁雜瑣事要看開一點，不要太計較。
5807,5564,7639,1,朋友公家做生理，金錢的問題一定愛計較清楚。,"Pîng-iú kong-ke tsò-sing-lí, kim-tsînn ê būn-tê it-tīng ài kè-kàu tshing-tshó. ",朋友一起做生意，有關錢的問題一定要計算清楚。
5808,5565,7641,1,上軌道矣。,Tsiūnn kuí-tō--ah. ,上軌道了。指順利營運，合乎常軌。
5809,5566,7644,1,你毋通起歹心共伊計算。,Lí m̄-thang khí pháinn-sim kā i kè-sǹg. ,你不可以用壞心眼來謀算他。
5810,5567,7645,1,小可代誌爾爾，無要緊。,"Sió-khuá tāi-tsì niā-niā, bô iàu-kín. ",小事一件罷了，不重要。
5811,5567,7646,1,陳先生無要緊門風、嫁妝。,"Tân--sian-sinn bô iàu-kín mn̂g-hong, kè-tsng.",陳先生不重視門風、嫁妝。
5812,5567,7646,2,伊上要緊彼隻狗。,I siōng iàu-kín hit tsiah káu.,他最在乎那隻狗。
5813,5569,7648,1,會用得閣予我限數無？,Ē-īng-tit koh hōo guá ān-siàu--bô? ,可以再讓我延長還帳期限嗎？
5814,5570,7649,1,𪜶這遍的旅遊，費用攏由公司負擔。,"In tsit piàn ê lí-iû, huì-iōng lóng iû kong-si hū-tam. ",他們這次的旅遊，費用都由公司負擔。
5815,5571,7651,1,𪜶兜生活的重擔，攏是伊咧擔。,"In tau sing-ua̍h ê tāng-tànn, lóng sī i teh tann. ",他家生活的重擔，都是他在承擔。
5816,5572,7652,1,你有啥物好的計謀？,Lí ū siánn-mih hó ê kè-bôo? ,你有什麼好的計謀？
5817,5573,7653,1,伊彼个人誠重錢。,I hit ê lâng tsiânn tiōng-tsînn. ,他那個人把錢看得很重。
5818,5574,7654,1,騎車仔的時陣，物件就愛分伻囥，才袂重頭輕。,"Khiâ tshia-á ê sî-tsūn, mi̍h-kiānn tō ài pun-phenn khǹg, tsiah bē tāng-thâu-khin. ",騎車的時候，東西要擺放平均，才不會一邊重一邊輕。
5819,5575,7655,1,米是買重聲的。,Bí sī bé tāng-siann--ê. ,米是算重量買的。
5820,5579,7659,1,伊食重鹹。,I tsia̍h tāng-kiâm. ,他口味吃得很重。
5821,5580,7660,1,面試,biān-tshì,
5822,5580,7660,2,面會,biān-huē,
5823,5580,7661,1,體面,thé-biān,
5824,5581,7662,1,伊的面真圓。,I ê bīn tsin înn. ,他的臉很圓。
5825,5581,7663,1,一面鏡,tsi̍t bīn kiànn,一面鏡子
5826,5582,7664,1,革職,kik-tsit,
5827,5582,7665,1,改革,kái-kik,
5828,5583,7666,1,聲音,siann-im,
5829,5583,7666,2,音樂,im-ga̍k,
5830,5585,7668,1,風真透,hong tsin thàu,風很大
5831,5585,7669,1,一風船,tsi̍t hong tsûn,漁船捕魚一次
5832,5586,7670,1,飛行,hui-hîng,
5833,5587,7671,1,鳥仔飛來飛去。,Tsiáu-á pue-lâi-pue-khì. ,小鳥飛來飛去。
5834,5587,7672,1,伊佮𪜶女朋友的愛情早就飛去矣。,I kah in lú pîng-iú ê ài-tsîng tsá tō pue--khì--ah. ,他和他的女朋友的戀情早就告吹了。
5835,5587,7673,1,這隻飛行機是欲飛美國的。,Tsit tsiah hue-lîng-ki sī beh pue Bí-kok--ê. ,這架飛機是要飛美國的。
5836,5587,7674,1,伊今仔日講話飛飛。,I kin-á-ji̍t kóng-uē pue-pue. ,他今天講話無法控制。
5837,5588,7675,1,食果子,tsia̍h kué-tsí,吃水果
5838,5588,7676,1,食茶,tsia̍h tê,喝茶
5839,5588,7676,2,食燒酒,tsia̍h sio-tsiú,喝酒
5840,5588,7677,1,食薰,tsia̍h-hun,抽煙
5841,5588,7678,1,食名,tsia̍h-miâ,依靠名聲、浪得虛名
5842,5588,7678,2,食頭路,tsia̍h-thâu-lōo,依工作過活
5843,5588,7678,3,食褒,tsia̍h-po,喜歡被稱讚
5844,5588,7679,1,食甲老老老。,Tsia̍h kah lāu-lāu-lāu. ,活到長命百歲。
5845,5588,7680,1,食錢,tsia̍h-tsînn,吃錢、貪汙
5846,5588,7680,2,食秤頭,tsia̍h-tshìn-thâu,偷斤減兩
5847,5588,7681,1,船食水有偌深？,Tsûn tsia̍h-tsuí ū guā tshim? ,船在水中受力有多深？
5848,5588,7681,2,食風,tsia̍h-hong,承受風力
5849,5588,7682,1,這塊布的色愛食較重咧，才會媠。,"Tsit tè pòo ê sik ài tsia̍h khah tāng--leh, tsiah ē suí. ",這塊布的顏色要染深一點才漂亮。
5850,5589,7683,1,食食,tsia̍h-si̍t,食物
5851,5589,7683,2,食品,si̍t-phín,
5852,5590,7684,1,燒香,sio-hiunn,
5853,5590,7684,2,燒蠓薰香,sio báng-hun-hiunn,燒蚊香
5854,5590,7685,1,伊生做真香。,I senn-tsò tsin hiunn. ,他長得很瘦弱。
5855,5591,7686,1,伊真𠢕食人。,I tsin gâu tsia̍h--lâng. ,他很會占人家便宜。
5856,5592,7687,1,骨力食力，貧惰吞瀾。,"Kut-la̍t tsia̍h-la̍t, pîn-tuānn thun nuā. ",勤勞的人靠勞力生活，懶惰的人只能吞口水。用來勉勵人要勤勞才能衣食無虞。
5857,5592,7688,1,食老了後目睭花花，看報紙足食力。,"Tsia̍h-lāu liáu-āu ba̍k-tsiu hue-hue, khuànn pò-tsuá tsiok tsia̍h-la̍t. ",年老以後眼茫目花，看報紙很費力。
5858,5592,7689,1,伊病甲真食力。,I pēnn kah tsin tsia̍h-la̍t. ,他病得很嚴重。
5859,5593,7690,1,阮媽媽上愛面子。,Guán má-mah siōng ài bīn-tsú. ,我媽媽最重聲譽。
5860,5593,7691,1,這擺你看我的面子，就莫佮伊計較矣。,"Tsit pái lí khuànn guá ê bīn-tsú, tō mài kah i kè-kàu--ah. ",這次你看我的面子，就別和他計較了。
5861,5595,7693,1,彼个查某囡仔面水袂䆀。,Hit ê tsa-bóo gín-á bīn-tsuí bē-bái. ,那個女孩子姿色不錯。
5862,5595,7694,1,看伊的面水，莫閣罰錢啦！,"Khuànn i ê bīn-tsuí, mài koh hua̍t tsînn--lah! ",看他的面子，不要再罰錢啦！
5863,5596,7696,1,這門風水會致蔭囝孫。,Tsit mn̂g hong-suí ē tì-ìm kiánn-sun. ,這座墳墓會庇蔭子孫。
5864,5597,7697,1,伊風火夯起來矣，你愛較細膩咧。,"I hong-hué giâ--khí-lâi--ah, lí ài khah sè-jī--leh. ",他的火氣上升了，你要小心一點。
5865,5599,7701,1,伊當佇風火頭，你千萬毋通去惹伊。,"I tng tī hong-hué-thâu, lí tshian-bān m̄-thang khì jiá--i. ",他正在氣頭上，你千萬不要去招惹他。
5866,5600,7702,1,三頓攏食外口。,Sann-tǹg lóng tsia̍h-guā-kháu. ,三餐都在外面吃。
5867,5602,7704,1,食奶名,tsia̍h-ling miâ,乳名
5868,5603,7705,1,店面開佇三角窗較食市。,Tiàm-bīn khui tī sann-kak-thang khah tsia̍h-tshī. ,開店要在三叉路口，生意才會好。
5869,5603,7706,1,這塊唱片這馬真食市。,Tsit tè tshiùnn-phìnn tsit-má tsin tsia̍h-tshī. ,這張唱片現在很暢銷。
5870,5604,7707,1,伊面皮薄，驚見笑。,"I bīn-phuê po̍h, kiann-kiàn-siàu. ",他的臉皮薄，怕羞。
5871,5605,7708,1,這項物件予人食名領去矣。,Tsit hāng mi̍h-kiānn hōo lâng tsia̍h-miâ niá--khì--ah. ,這個東西被人冒名領走了。
5872,5605,7709,1,這个名牌是食名爾爾，品質無偌好。,"Tsit ê miâ pâi sī tsia̍h-miâ niā-niā, phín-tsit bô guā hó. ",這個名牌是浪得虛名而已，品質不太好。
5873,5606,7710,1,你的面色無好，敢會是睏無飽眠？,"Lí ê bīn-sik bô hó, kám ē sī khùn bô pá-bîn? ",你的氣色不好，是不是沒睡飽？
5874,5606,7711,1,媽媽今仔日的面色怪怪，咱愛較乖咧，才袂予人罵。,"Má-mah kin-á-ji̍t ê bīn-sik kuài-kuài, lán ài khah kuai--leh, tsiah bē hōo lâng mē. ",媽媽今天的臉色怪怪的，我們要乖一點，才不會被罵。
5875,5607,7712,1,食老無效，挖無塗豆。,"Tsia̍h-lāu bô-hāu, óo bô thôo-tāu. ",年紀大了就沒用了，連花生都挖不到。是老人家調侃自己的俏皮話。
5876,5608,7713,1,伊這項物件小等閣愛食色，做了有夠工夫。,"I tsit hāng mi̍h-kiānn sió-tán koh ài tsia̍h-sik, tsò liáu ū-kàu kang-hu. ",他這件物品等一下還要上色，做得很精緻。
5877,5612,7718,1,予風尾掃著。,Hōo hong-bué sàu--tio̍h. ,被風尾吹到。引申被氣頭所波及。
5878,5612,7719,1,你莫閣膨風矣，欲講去風尾講！,"Lí mài koh phòng-hong--ah, beh kóng khì hong-bué kóng! ",你不要再吹牛了，要吹到一邊去吹吧！
5879,5613,7720,1,伊的面形較圓。,I ê bīn-hîng khah înn. ,他的臉形比較圓。
5880,5616,7723,1,有人食命，有人食力，你毋免閣怨嘆矣！,"Ū-lâng tsia̍h-miā, ū-lâng tsia̍h-la̍t, lí m̄-bián koh uàn-thàn--ah! ",有人靠命運生活，有人靠自己的力量生活，你就不用再怨恨了！
5881,5617,7724,1,天氣誠寒，你著愛先抹面油才出門。,"Thinn-khì tsiânn kuânn, lí tio̍h ài sing buah bīn-iû tsiah tshut-mn̂g. ",天氣很冷，你得先塗面霜再出門。
5882,5617,7725,1,伊真𠢕生面油。,I tsin gâu senn bīn-iû. ,他臉上很容易分泌油脂。
5883,5619,7727,1,冤冤仇仇，風波幾時休。,"Uan-uan-siû-siû, hong-pho kí sî hiu. ",冤冤相報何時了。
5884,5620,7728,1,食物一定愛清氣，才有衛生。,"Si̍t-bu̍t it-tīng ài tshing-khì, tsiah ū uē-sing. ",吃的東西一定要乾淨，才衛生。
5885,5621,7729,1,風雨斷腸人,hong-ú tuān-tshiâng jîn,
5886,5623,7732,1,初戀的情景猶原浮佇我面前。,Tshoo-luân ê tsîng-kíng iu-guân phû tī guá bīn-tsîng.,初戀的情景依然浮現在我面前。
5887,5623,7733,1,面前咱所拄著的問題攏無法度解決，是欲按怎才好？,"Bīn-tsîng lán sóo tú-tio̍h ê būn-tê lóng bô-huat-tōo kái-kuat, sī beh án-tsuánn tsiah hó? ",目前我們所遇到的問題都無法解決，要怎麼辦才好？
5888,5626,7736,1,伊真有風度，共對頭恭喜。,"I tsin ū hong-tōo, kā tuì-thâu kiong-hí. ",他有風度，向對手道賀。
5889,5627,7737,1,風流才子,hong-liû tsâi-tsú,有才華而不拘禮數的人
5890,5627,7738,1,風流人物,hong-liû jîn-bu̍t,傑出有功勞的人
5891,5627,7739,1,風流客,hong-liû kheh,尋芳客
5892,5629,7741,1,作穡人攏愛靠天公伯仔，才有通食穿。,"Tsoh-sit-lâng lóng ài khò thinn-kong-peh--á, tsiah ū thang tsia̍h-tshīng. ",務農的人都要靠老天爺，才有得吃穿。
5893,5630,7742,1,食苦當做食補。,Tsia̍h-khóo tòng-tsò tsia̍h-póo. ,吃苦當作吃補。比喻苦中作樂。
5894,5631,7743,1,伊的食食誠無正常。,I ê tsia̍h-si̍t tsiânn bô tsìng-siông. ,他的飲食很不正常。
5895,5632,7744,1,伊的目睭去予風飛沙坱著。,I ê ba̍k-tsiu khì hōo hong-pue-sua ing--tio̍h. ,風沙跑進他的眼睛裡了。
5896,5633,7745,1,伊會共人食倯。,I ē kā lâng tsia̍h-sông. ,他會欺負老實人。
5897,5635,7747,1,轉去食家己。,Tńg-khì tsia̍h-ka-kī. ,回去吃老本。比喻被解雇、失業。
5898,5636,7748,1,伊下暗去食桌，無佇厝裡。,"I e-àm khì tsia̍h-toh, bô tī tshù--lí. ",他今晚去吃喜酒，不在家。
5899,5642,7754,1,伊這个人上愛風神。,I tsit ê lâng siōng ài hong-sîn. ,他這個人最喜歡誇大其詞。
5900,5642,7755,1,你愛拍拚趁錢，娶媠某，予恁爸我風神一下。,"Lí ài phah-piànn thàn-tsînn, tshuā suí bóo, hōo lín-pē guá hong-sîn--tsi̍t-ē. ",你應該努力賺錢，娶個漂亮老婆，讓你老爸我神氣一下。
5901,5643,7756,1,做生理毋通共人食秤頭。,Tsò-sing-lí m̄-thang kā lâng tsia̍h-tshìn-thâu. ,做生意不可以偷斤減兩欺騙顧客。
5902,5646,7759,1,阿英，好來食晝矣。,"A-ing, hó lâi tsia̍h-tàu--ah. ",阿英，可以來吃中飯了。
5903,5646,7760,1,食晝才來共伊看。,Tsia̍h-tàu tsiah lâi kā i khuànn. ,中午的時候再去探望他。
5904,5647,7761,1,你逐工食清領便，閣有啥物好煩惱的？,"Lí ta̍k kang tsia̍h-tshing-niá-piān, koh ū siánn-mih hó huân-ló--ê? ",你每天茶來伸手，飯來張口，還有什麼好煩惱的？
5905,5650,7764,1,伊彼个人食軟驚硬。,I hit ê lâng tsia̍h-nńg-kiann-ngē. ,他那個人欺善怕惡。
5906,5651,7765,1,麻煩你共面頂彼本冊提來予我。,Mâ-huân lí kā bīn-tíng hit pún tsheh the̍h-lâi hōo--guá. ,麻煩你把上面那本書拿來給我。
5907,5654,7768,1,今仔日風湧真大，是毋是風颱欲來矣？,"Kin-á-ji̍t hong-íng tsin tuā, sī m̄ sī hong-thai beh lâi--ah? ",今天風浪很大，是不是颱風要來了？
5908,5657,7771,1,用風筒來灌風。,Īng hong-tâng lâi kuàn-hong. ,用充氣筒來打氣。
5909,5661,7775,1,伊自出世就食菜到今。,I tsū tshut-sì tō tsia̍h-tshài kàu tann. ,他從出生就吃素到現在。
5910,5661,7776,1,定定食菜較袂高血壓。,Tiānn-tiānn tsia̍h tshài khah bē ko-hiat-ap. ,常常吃蔬菜比較不會高血壓。
5911,5661,7777,1,來啦！盡量食菜，免客氣。,"Lâi--lah! Tsīn-liōng tsia̍h tshài, bián kheh-khì. ",來吧！盡量配菜，不要客氣。請客時勸客人用菜進食的客套話。
5912,5663,7779,1,伊做代誌認真，風評袂䆀。,"I tsò tāi-tsì jīn-tsin, hong-phîng bē-bái. ",他做事認真，頗獲好評。
5913,5666,7782,1,看風勢,khuànn hong-sè,看風行船、見機行事
5914,5667,7783,1,阮囝咧做兵，後禮拜我欲來去面會。,"Guán kiánn teh tsò-ping, āu lé-pài guá beh lâi-khì biān-huē. ",我兒子在當兵，下個禮拜我要去會面。
5915,5668,7784,1,叫恁老爸趕緊轉來食暗矣。,Kiò lín lāu-pē kuánn-kín tńg-lâi tsia̍h-àm--ah. ,叫你爸爸趕快回來吃晚飯了。
5916,5669,7786,1,萬代香煙,bān-tāi hiunn-ian,萬代家系不絕
5917,5671,7788,1,藥補不如食補。,Io̍h póo put jû si̍t-póo. ,
5918,5673,7792,1,去市場拄著一隻飛鼠，錢就予伊摸去矣。,"Khì tshī-tiûnn tú-tio̍h tsi̍t tsiah pue-tshí, tsînn tō hōo i bong--khì--ah. ",去市場遇到扒手，錢就被扒走了。
5919,5674,7793,1,伊真有食福，每一擺來，我攏煮好料的。,"I tsin ū tsia̍h-hok, muí tsi̍t pái lâi, guá lóng tsú hó-liāu--ê. ",他真有口福，每一次來我都煮好吃的東西。
5920,5679,7797,1,掃著風颱尾,sàu-tio̍h hong-thai-bué,遭池魚之殃
5921,5682,7800,1,看你按呢面憂面結，敢是有心事？,"Khuànn lí án-ne bīn-iu-bīn-kat, kám-sī ū sim-sū? ",看你愁眉苦臉，難道是有什麼心事嗎？
5922,5683,7801,1,衫仔愛食漿過，才會好看。,"Sann-á ài tsia̍h-tsiunn--kuè, tsiah ē hó-khuànn. ",衣服要在米湯中浸泡過再曬乾燙平，才會好看。
5923,5684,7802,1,伊的面模仔誠媠。,I ê bīn-bôo-á tsiânn suí. ,她的臉蛋很漂亮。
5924,5685,7803,1,你看起來面熟面熟，咱敢有見過面？,"Lí khuànn--khí-lâi bīn-si̍k-bīn-si̍k, lán kám ū kìnn-kuè bīn? ",你看起來好面熟，我們可曾見過面？
5925,5690,7808,1,看著人翁仔某的感情遐爾仔好，無，你是咧食醋是無？,"Khuànn-tio̍h lâng ang-á-bóo ê kám-tsîng hiah-nī-á hó, bô, lí sī teh tsia̍h-tshòo sī--bô? ",看到人家夫妻倆感情恩愛，你是在吃醋是吧？
5926,5692,7810,1,無代無誌，煞食伊一个膨餅。,"Bô-tāi-bô-tsì, suah tsia̍h i tsi̍t ê phòng-piánn. ",無緣無故，吃一個閉門羹。
5927,5693,7811,1,伊才毋是彼款會食錢的人。,I tsiah m̄ sī hit khuán ē tsia̍h-tsînn ê lâng. ,他才不是那種會貪汙收賄的人。
5928,5695,7814,1,伊真愛出風頭。,I tsin ài tshut-hong-thâu. ,他很喜歡在外人面前表現自我。
5929,5696,7815,1,伊都徛佇你的面頭前矣，你閣無看著。,"I to khiā tī lí ê bīn-thâu-tsîng--ah, lí koh bô khuànn--tio̍h. ",他都站在你面前了，你還沒看到。
5930,5697,7816,1,伊佇𪜶阿叔遐食頭路。,I tī in a-tsik hia tsia̍h-thâu-lōo. ,他在他叔叔那裡上班。
5931,5699,7818,1,風喙口有一陣風聲呼呼叫。,Hong-tshuì-kháu ū tsi̍t tsūn hong-siann hoo-hoo-kiò. ,風口有一陣風聲呼呼叫。
5932,5699,7819,1,你敢有聽著彼件代誌的風聲？,Lí kám ū thiann-tio̍h hit kiānn tāi-tsì ê hong-siann? ,你有沒有聽到那件事情的消息？
5933,5699,7820,1,伊做人的風聲袂䆀。,I tsò-lâng ê hong-siann bē-bái. ,他為人的風評不錯。
5934,5699,7821,1,外口當咧風聲講欲大地動矣。,Guā-kháu tng-teh hong-siann kóng beh tuā tē-tāng--ah. ,外面正在傳聞要大地震了。
5935,5700,7822,1,出家人袂使食臊。,Tshut-ke-lâng bē-sái tsia̍h-tsho. ,出家人不可以吃葷食。
5936,5701,7823,1,這馬外口風聲嗙影，講甲偌爾歹聽咧。,"Tsit-má guā-kháu hong-siann-pòng-iánn, kóng kah guā-nī pháinn-thiann--leh. ",現在外頭捕風捉影，說得多難聽啊。
5937,5702,7824,1,食虧就是占便宜。,Tsia̍h-khui tō sī tsiàm pân-gî. ,吃虧就是占便宜。
5938,5705,7829,1,食薰對身體無好。,Tsia̍h-hun tuì sin-thé bô hó. ,抽煙對身體不好。
5939,5707,7831,1,看伊行路的款，實在有夠風騷。,"Khuànn i kiânn-lōo ê khuán, si̍t-tsāi ū-kàu hong-so. ",看她那副走路的樣子，實在是輕佻到極點。
5940,5707,7832,1,囡仔人真愛風騷。,Gín-á-lâng tsin ài hong-so. ,小孩子家這麼愛玩。
5941,5709,7834,1,修路,siu lōo,
5942,5709,7835,1,修行,siu-hīng,學道或是修習佛法
5943,5710,7836,1,俺爸,án-pē,爸爸
5944,5710,7837,1,俺逐家攏著愛疼俺這塊土地。,Án ta̍k-ke lóng tio̍h ài thiànn án tsit tè thóo-tē. ,我們大家都要愛我們的土地。
5945,5711,7838,1,米倉,bí-tshng,米庫
5946,5711,7838,2,粟倉,tshik-tshng,穀倉
5947,5712,7839,1,一個月,tsi̍t kò gue̍h,
5948,5713,7840,1,新郎倌,sin-lông kuann,對新郎的敬稱
5949,5713,7841,1,來好倌,Lâi-hó kuann,來好女仕
5950,5714,7842,1,加倍,ka-puē,
5951,5716,7844,1,伊咧修行，無插俗事。,"I teh siu-hīng, bô tshap sio̍k-sū. ",他在修佛學道，不過問世事。
5952,5716,7845,1,你就是攏無修行，性地才會遮爾仔䆀。,"Lí tō sī lóng bô siu-hīng, sìng-tē tsiah ē tsiah-nī-á bái. ",你就是都沒有修身養性，脾氣才會這麼差。
5953,5720,7849,1,時鐘修理好矣。,Sî-tsing siu-lí hó--ah. ,時鐘修理好了。
5954,5720,7850,1,伊去予人修理,i khì hōo lâng siu-lí,他被修理了
5955,5721,7851,1,修補厝頂,siu-póo tshù-tíng,修補屋頂
5956,5723,7853,1,咱愛時常修養咱的心行，才會有好積德。,"Lán ài sî-siông siu-ióng lán ê sim-hīng, tsiah ē ū hó tsik-tik. ",我們要時常涵養品行，才能積好德。
5957,5723,7854,1,伊的修養真好，攏袂佮人冤家。,"I ê siu-ióng tsin hó, lóng bē kah lâng uan-ke. ",他的修養很好，都不會跟人家吵架。
5958,5724,7855,1,修整路面,siu-tsíng lōo-bīn,
5959,5725,7856,1,倒落去。,Tó--lo̍h-khì. ,倒下去。
5960,5725,7857,1,彼間店倒矣。,Hit king tiàm tó--ah. ,那家店倒了。
5961,5725,7857,2,伊的會仔予人倒去矣。,I ê huē-á hōo lâng tó--khì--ah. ,他跟會被倒掉了。
5962,5726,7858,1,倒水,tò tsuí,
5963,5726,7858,2,倒糞埽,tò pùn-sò,倒垃圾
5964,5726,7859,1,倒爿,tò-pîng,左邊
5965,5726,7859,2,倒跤,tò-kha,左腳
5966,5726,7860,1,倒去,tò--khì,回去
5967,5726,7861,1,倒吊,tò-tiàu,倒懸
5968,5727,7862,1,你傷倖囡仔。,Lí siunn sīng gín-á. ,你太溺愛小孩。
5969,5727,7862,2,倖豬夯灶，倖囝不孝。,"Sīng ti giâ tsàu, sīng kiánn put-hàu. ",比喻子女要加以管教，不能放縱，否則會變成不孝。
5970,5728,7863,1,坐倚來。,Tsē uá--lâi. ,坐過來一點。
5971,5728,7864,1,西瓜倚大爿。,Si-kue uá tuā pîng. ,挑西瓜挑大的那一半。引申作人為了眼前的利益，甘願放棄原則，而採取附和的態度。
5972,5728,7865,1,倚樣做衫。,Uá iūnn tsò sann. ,仿照某個樣式做衣服。
5973,5729,7866,1,我借伊一本冊。,Guá tsioh i tsi̍t pún tsheh. ,我借他一本書。
5974,5729,7866,2,我共伊借冊。,Guá kā i tsioh tsheh. ,我向他借書。
5975,5730,7867,1,加倩兩个人來鬥跤手。,Ke tshiànn nn̄g ê lâng lâi tàu-kha-tshiú. ,多聘僱兩個人來幫忙。
5976,5730,7867,2,倩鬼拆藥單。,Tshiànn kuí thiah io̍h-tuann. ,請鬼抓藥。比喻「自尋死路」。
5977,5731,7868,1,你傷過倯矣，會予人笑死喔！,"Lí siunn kuè sông--ah, ē hōo lâng tshiò--sí--ooh! ",你太土了，會被人家笑死喔！
5978,5732,7869,1,開五百箍買一枝筆，敢有值？,"Khai gōo-pah khoo bé tsi̍t ki pit, kám ū ta̍t? ",花五百元買一支筆，值得嗎？
5979,5732,7870,1,做甲欲死，毋值得人一句話。,"Tsò kah beh-sí, m̄ ta̍t-tit lâng tsi̍t kù uē. ",做得要死，還比不上人家一句話。
5980,5733,7871,1,增值,tsing-ti̍t,
5981,5733,7872,1,值班,ti̍t-pan,
5982,5734,7873,1,校長兼摃鐘。,Hāu-tiúnn kiam kòng-tsing. ,校長兼工友。比喻包辦所有事情。
5983,5734,7873,2,一兼二顧，摸蜊仔兼洗褲。,"It kiam jī kòo, bong lâ-á kiam sé khòo. ",比喻二者兼顧。
5984,5735,7874,1,恁兩个莫閣冤矣啦！,Lín nn̄g ê mài koh uan--ah--lah! ,你們兩個別再吵了！
5985,5735,7875,1,申冤,sin-uan,申訴冤情
5986,5736,7876,1,老師准我請假。,Lāu-su tsún guá tshíng-ká. ,老師允許我請假。
5987,5737,7877,1,色凊凊,sik tshìn-tshìn,顏色冷冷的
5988,5737,7877,2,凊汗,tshìn-kuānn,冷汗
